id,observed_on,user_id,latitude,longitude,place_county_name,place_state_name,place_country_name,scientific_name,taxon_id
16783861,2018-09-21,9706,31.3817759705,-110.3628162367,Cochise,Arizona,United States,Enallagma praevarum,99920
16783862,2018-09-21,9706,31.3817759705,-110.3628162367,Cochise,Arizona,United States,Hesperagrion heterodoxum,102657
16783863,2018-09-21,9706,31.3817759705,-110.3628162367,Cochise,Arizona,United States,Melanoplus differentialis,63518
16783864,2018-09-21,9706,31.3817759705,-110.3628162367,Cochise,Arizona,United States,Papilio multicaudata,68263
16783865,2018-09-21,9706,31.3821383333,-110.3627383333,Cochise,Arizona,United States,Hyles lineata,49348
16783866,2018-09-21,9706,31.3817759705,-110.3628162367,Cochise,Arizona,United States,Phoebis sennae,48550
16783869,2018-09-21,9706,31.3817759705,-110.3628162367,Cochise,Arizona,United States,Poecilopompilus algidus,265680
16783870,2018-09-21,9706,31.3817759705,-110.3628162367,Cochise,Arizona,United States,Celastrina echo,52484
16783872,2018-09-21,9706,31.3817759705,-110.3628162367,Cochise,Arizona,United States,Chrysoecia atrolinea,508537
16783912,2018-09-21,9706,31.3825666667,-110.3630416667,Cochise,Arizona,United States,Sympetrum corruptum,68138
16783913,2018-09-21,9706,31.3772383333,-110.39128,Cochise,Arizona,United States,Junonia nigrosuffusa,1021511
16783914,2018-09-21,9706,31.44778,-110.4009833333,Cochise,Arizona,United States,Adelpha eulalia,67559
16783916,2018-09-21,9706,31.4479766667,-110.400985,Cochise,Arizona,United States,Archilestes grandis,94513
16783917,2018-09-21,9706,31.4345014509,-110.5105304057,Cochise,Arizona,United States,Argia lacrimans,94553
16783918,2018-09-21,9706,31.4478783333,-110.401055,Cochise,Arizona,United States,Libytheana carinenta,58561
16783919,2018-09-21,9706,31.4475733333,-110.4011766667,Cochise,Arizona,United States,Sympetrum signiferum,113527
16783923,2018-09-21,9706,31.4536083333,-110.3974783333,Cochise,Arizona,United States,Gyrocheilus patrobas,204681
16783924,2018-09-21,9706,31.45366,-110.3975483333,Cochise,Arizona,United States,Chlosyne lacinia,68240
16783925,2018-09-21,9706,31.4535083333,-110.3976766667,Cochise,Arizona,United States,Oplonaeschna armata,67734
16783970,2018-09-21,9706,31.3820216667,-110.3626,Cochise,Arizona,United States,Argia nahuana,94559
16783971,2018-09-21,9706,31.382135,-110.3621933333,Cochise,Arizona,United States,Hemiargus ceraunus,69940
16783974,2018-09-21,9706,31.3816166667,-110.3633983333,Cochise,Arizona,United States,Junonia coenia,48505
16784062,2018-09-21,9706,31.3625683333,-110.300595,Cochise,Arizona,United States,Gyrocheilus patrobas,204681
16784063,2018-09-21,9706,31.3625983333,-110.3005983333,Cochise,Arizona,United States,Limenitis arthemis arizonensis,60606
16784064,2018-09-21,9706,31.3681484587,-110.3571193507,Cochise,Arizona,United States,Chlosyne cyneas,216797
16784067,2018-09-21,9706,31.3625766667,-110.3005533333,Cochise,Arizona,United States,Mischocyttarus navajo,266259
16784284,2018-09-21,40926,31.2962018546,-110.2392652998,Cochise,Arizona,United States,Chlosyne cyneas,216797
16784418,2018-09-01,2616,31.885513,-109.176121,Cochise,Arizona,United States,Zelus renardii,244407
16784421,2018-09-01,2616,31.885265,-109.176115,Cochise,Arizona,United States,Phymata rossi,781561
16784425,2018-09-01,2616,31.885313,-109.176088,Cochise,Arizona,United States,Ptychoglene coccinea,541446
16784431,2018-09-01,2616,31.884756,-109.176163,Cochise,Arizona,United States,Diapheromera arizonensis,194340
16784435,2018-08-31,2616,31.884438,-109.176528,Cochise,Arizona,United States,Heliocheilus julia,423933
16784453,2018-08-31,2616,31.885221,-109.17647,Cochise,Arizona,United States,Dynastes grantii,424045
16784463,2018-08-31,2616,31.884233,-109.176711,Cochise,Arizona,United States,Carales arizonensis,334279
16784469,2018-08-31,2616,31.871025,-109.186866,Cochise,Arizona,United States,Chauliognathus opacus,491215
16784478,2018-08-31,2616,31.871111,-109.186886,Cochise,Arizona,United States,Chauliognathus profundus,132099
16784480,2018-08-31,2616,31.871111,-109.186886,Cochise,Arizona,United States,Ctenucha venosa,217892
16784485,2018-08-31,2616,31.871505,-109.186508,Cochise,Arizona,United States,Acmaeodera solitaria,506395
16784508,2018-08-31,2616,31.871505,-109.186508,Cochise,Arizona,United States,Acmaeodera solitaria,506395
16784511,2018-08-31,2616,31.871425,-109.186525,Cochise,Arizona,United States,Chauliognathus lecontei,472024
16784528,2018-08-31,2616,31.872771,-109.18547,Cochise,Arizona,United States,Chauliognathus profundus,132099
16784535,2018-08-31,2616,31.872791,-109.18569,Cochise,Arizona,United States,Pselliopus marmorosus,481468
16785389,2018-09-21,1022003,32.1514915072,-109.767830389,Cochise,Arizona,United States,Dactylotum bicolor,179324
16785499,2018-09-01,2616,31.873023,-109.185135,Cochise,Arizona,United States,Corythucha ciliata,333813
16785503,2018-09-01,2616,31.88624,-109.174511,Cochise,Arizona,United States,Parasa chloris,207602
16785801,2018-09-17,65966,33.3624819429,-111.7373549866,Maricopa,Arizona,United States,Hyles lineata,49348
16785802,2018-09-21,65966,33.3624819429,-111.7373549866,Maricopa,Arizona,United States,Libellula luctuosa,47934
16786670,2018-09-21,2873,32.2348746,-110.9719928,Pima,Arizona,United States,Agraulis vanillae,49150
